TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2003,01,03,13,00,34XX W 24TH AVE,Dunbar-Southlands,486868.06,5455384.33
Theft from Vehicle,2003,10,25,23,15,DUNSMUIR ST / RICHARDS ST,Central Business District,491675.88,5458852.3
Theft from Vehicle,2003,10,13,11,24,7XX THURLOW ST,West End,490967.29,5459155.06
Offence Against a Person,2003,05,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,04,19,00,7XX THURLOW ST,West End,490967.29,5459155.06
Theft of Bicycle,2003,10,13,17,30,16XX JOHNSTON ST,Fairview,490171.84,5457693.94
Theft from Vehicle,2003,02,23,17,00,40XX W 39TH AVE,Dunbar-Southlands,485741.01,5453757.7
Theft from Vehicle,2003,08,23,13,00,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,11,01,19,47,DUNSMUIR ST / RICHARDS ST,Central Business District,491675.88,5458852.3
Theft from Vehicle,2003,03,07,23,00,40XX W 39TH AVE,Dunbar-Southlands,485887.22,5453755.32
Break and Enter Residential/Other,2003,08,06,08,00,33XX QUEENS AVE,Renfrew-Collingwood,497493.02,5454204.52
Theft from Vehicle,2003,05,16,10,03,9XX SEYMOUR ST,Central Business District,491175.31,5458477.55
Theft from Vehicle,2003,03,21,09,30,5XX RICHARDS ST,Central Business District,491789.2,5458959.71
Break and Enter Residential/Other,2003,08,31,23,00,7X W KING EDWARD AVE,Riley Park,492224.69,5455119.42
Offence Against a Person,2003,08,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,02,04,12,00,18XX E 36TH AVE,Kensington-Cedar Cottage,495026.25,5453861.13
Break and Enter Residential/Other,2003,07,18,09,00,18XX E 36TH AVE,Kensington-Cedar Cottage,495043.21,5453869.94
Break and Enter Commercial,2003,09,26,02,30,10XX ALBERNI ST,West End,491067.65,5459114.22
Theft from Vehicle,2003,08,09,10,22,7XX THURLOW ST,West End,490967.29,5459155.06
Theft from Vehicle,2003,05,06,08,50,33XX FRASER ST,Kensington-Cedar Cottage,493459.72,5455797.18
Theft of Vehicle,2003,01,06,17,00,5XX E 5TH AVE,Mount Pleasant,493315.61,5457052.95
Theft from Vehicle,2003,02,28,22,00,2XX E 14TH AVE,Mount Pleasant,492643.35,5456181.56
Theft from Vehicle,2003,06,01,23,30,2XX E 14TH AVE,Mount Pleasant,492643.35,5456181.56
Theft of Bicycle,2003,07,26,13,00,16XX JOHNSTON ST,Fairview,490171.84,5457693.94
Theft from Vehicle,2003,01,26,18,30,CAMBIE ST / W PENDER ST,Central Business District,491994.95,5458762.17
Theft from Vehicle,2003,08,01,17,00,9XX SEYMOUR ST,Central Business District,491186.0,5458488.21
Theft from Vehicle,2003,08,29,19,00,2XX E 14TH AVE,Mount Pleasant,492643.35,5456181.56
Mischief,2003,11,09,20,30,53XX CECIL ST,Renfrew-Collingwood,497444.98,5453750.43
Theft of Vehicle,2003,03,02,23,00,5XX E 5TH AVE,Mount Pleasant,493246.21,5457043.81
